Condition	Video	Date	Time	Time_2
A	E04A-0191	09/08/2017	12:10:00	0.506944444
A	E04A-0194	09/08/2017	12:46:00	0.531944444
A	E04A-0199	09/08/2017	13:21:00	0.55625
A	E04A-0201	09/08/2017	13:52:00	0.577777778
A	E04A-0203	09/08/2017	14:25:00	0.600694444
A	E04A-0207	09/08/2017	15:07:00	0.629861111
A	E04A-0210	09/08/2017	15:47:00	0.657638889
A	E04A-0213	09/08/2017	16:22:00	0.681944444
A	E04A-0215	09/08/2017	16:54:00	0.704166667
A	E04A-0217	09/08/2017	17:49:00	0.742361111
A	E04A-0218	10/08/2017	7:42:00	0.320833333
A	E04A-0222	10/08/2017	8:25:00	0.350694444
A	E04A-0223	10/08/2017	9:07:00	0.379861111
A	E04A-0224	10/08/2017	10:26:00	0.434722222
A	E04A-0226	10/08/2017	12:49:00	0.534027778
A	E04A-0227	10/08/2017	13:50:00	0.576388889
A	E04A-0229	10/08/2017	14:49:00	0.617361111
A	E04A-0230	10/08/2017	15:26:00	0.643055556
A	E04A-0231	10/08/2017	15:59:00	0.665972222
A	E04A-0233	10/08/2017	16:39:00	0.69375
A	E04A-0237	10/08/2017	17:28:00	0.727777778
A	E04A-0239	10/08/2017	18:14:00	0.759722222
A	E04A-0240	11/08/2017	7:38:00	0.318055556
A	E04A-0243	11/08/2017	8:41:00	0.361805556
A	E04A-0245	11/08/2017	9:15:00	0.385416667
A	E04A-0246	11/08/2017	10:18:00	0.429166667
A	E04A-0248	11/08/2017	10:54:00	0.454166667
A	E04A-0250	11/08/2017	11:25:00	0.475694444
A	E04A-0253	11/08/2017	12:35:00	0.524305556
A	E04A-0255	11/08/2017	13:21:00	0.55625
A	E04A-0258	11/08/2017	13:58:00	0.581944444
A	E04A-0261	11/08/2017	14:56:00	0.622222222
A	E04A-0262	11/08/2017	15:31:00	0.646527778
A	E04A-0264	11/08/2017	16:08:00	0.672222222
A	E04A-0266	11/08/2017	16:49:00	0.700694444
A	E04A-0268	11/08/2017	17:38:00	0.734722222
A	E04A-0270	12/08/2017	7:38:00	0.318055556
A	E04A-0271	12/08/2017	8:39:00	0.360416667
