Condition	Video	Date	Photo.Time	Time_2
A	N11B-0314	04/09/2017	14:49:00	0.617361111
A	N11B-0317	04/09/2017	15:45:00	0.65625
A	N11B-0318	04/09/2017	16:58:00	0.706944444
A	N11B-0320	04/09/2017	18:04:00	0.752777778
A	N11B-0323	05/09/2017	7:21:00	0.30625
A	N11B-0326	05/09/2017	9:53:00	0.411805556
A	N11B-0327	05/09/2017	11:09:00	0.464583333
A	N11B-0328	05/09/2017	14:36:00	0.608333333
A	N11B-0330	05/09/2017	17:52:00	0.744444444
B	N11B-0331	06/09/2017	6:57:00	0.289583333
B	N11B-0333	06/09/2017	8:12:00	0.341666667
B	N11B-0334	06/09/2017	9:05:00	0.378472222
B	N11B-0335	06/09/2017	10:38:00	0.443055556
B	N11B-0337	06/09/2017	11:12:00	0.466666667
B	N11B-0340	06/09/2017	12:11:00	0.507638889
B	N11B-0343	06/09/2017	12:51:00	0.535416667
B	N11B-0348	06/09/2017	13:28:00	0.561111111
B	N11B-0350	06/09/2017	14:03:00	0.585416667
B	N11B-0353	06/09/2017	14:38:00	0.609722222
B	N11B-0355	06/09/2017	15:22:00	0.640277778
B	N11B-0357	06/09/2017	16:08:00	0.672222222
B	N11B-0359	06/09/2017	16:45:00	0.697916667
B	N11B-0360	06/09/2017	17:22:00	0.723611111
B	N11B-0363	07/09/2017	7:34:00	0.315277778
B	N11B-0364	07/09/2017	9:13:00	0.384027778
B	N11B-0365	07/09/2017	10:14:00	0.426388889
B	N11B-0367	07/09/2017	10:50:00	0.451388889
B	N11B-0385	07/09/2017	12:07:00	0.504861111
B	N11B-0406	07/09/2017	13:03:00	0.54375
B	N11B-0424	07/09/2017	13:52:00	0.577777778
B	N11B-0432	07/09/2017	14:39:00	0.610416667
B	N11B-0446	07/09/2017	15:29:00	0.645138889
B	N11B-0454	07/09/2017	16:11:00	0.674305556
B	N11B-0455	07/09/2017	16:44:00	0.697222222
B	N11B-0458	08/09/2017	7:52:00	0.327777778
B	N11B-0459	08/09/2017	9:18:00	0.3875
B	N11B-0461	08/09/2017	10:21:00	0.43125
B	N11B-0464	08/09/2017	12:05:00	0.503472222
B	N11B-0467	08/09/2017	13:36:00	0.566666667
B	N11B-0470	08/09/2017	14:18:00	0.595833333
B	N11B-0477	08/09/2017	17:20:00	0.722222222
B	N11B-0478	09/09/2017	8:46:00	0.365277778
B	N11B-0500	09/09/2017	11:21:00	0.472916667
B	N11B-0523	09/09/2017	12:49:00	0.534027778
B	N11B-0552	09/09/2017	15:12:00	0.633333333
B	N11B-0554	09/09/2017	16:22:00	0.681944444
B	N11B-0560	09/09/2017	17:04:00	0.711111111
B	N11B-0562	09/09/2017	17:37:00	0.734027778
B	N11B-0564	10/09/2017	9:11:00	0.382638889
B	N11B-0578	10/09/2017	10:54:00	0.454166667
